diferencia,dq,indice,md,paridad,pq,precio,qp,ticker,tir,ttir,uptir,volumen,vt
,54,USS,4.26,34.1%,2.1,34.60,6%,GD38D,26.1%,10.4%,109.9%,0.0,101.6
,54,USS,4.96,27.9%,1.8,28.29,6%,GD35D,26.5%,10.5%,137.3%,0.0,101.3
,54,USS,5.03,29.0%,1.8,29.35,6%,GD41D,23.9%,10.6%,111.5%,0.0,101.3
,54,USS,1.84,26.1%,0.4,26.20,1%,AL30C,58.1%,9.4%,188.0%,0.0,100.3
,54,USS,1.86,27.2%,0.5,27.25,2%,AL29C,59.6%,9.4%,184.7%,0.0,100.4
,54,USS,3.80,28.2%,2.1,28.60,7%,AE38C,31.4%,10.2%,156.0%,0.0,101.6
,54,USS,4.70,25.2%,1.8,25.50,7%,AL35C,28.9%,10.5%,164.4%,0.0,101.3
,54,USS,5.32,32.1%,1.8,32.50,5%,AL41C,21.8%,10.6%,90.1%,0.0,101.3
,54,USS,1.84,26.7%,0.5,26.75,2%,GD29C,60.9%,9.4%,190.1%,0.0,100.4
,54,USS,2.05,30.8%,0.4,30.90,1%,GD30C,47.8%,9.5%,143.3%,0.0,100.3
,54,USS,3.54,28.8%,1.8,29.15,6%,GD46C,28.8%,10.1%,131.5%,0.0,101.3
,54,USS,4.25,34.0%,2.1,34.50,6%,GD38C,26.2%,10.4%,110.6%,0.0,101.6
,54,USS,4.84,26.6%,1.8,27.00,7%,GD35C,27.6%,10.5%,149.1%,0.0,101.3
,54,USS,4.99,28.6%,1.8,29.00,6%,GD41C,24.2%,10.6%,114.2%,0.0,101.3
,54,USS,1.84,26.1%,0.4,26.20,1%,AL30C,58.1%,9.4%,188.0%,0.0,100.3
,54,USS,1.86,27.2%,0.5,27.25,2%,AL29C,59.6%,9.4%,184.7%,0.0,100.4
,54,USS,3.80,28.2%,2.1,28.60,7%,AE38C,31.4%,10.2%,156.0%,0.0,101.6
,54,USS,4.70,25.2%,1.8,25.50,7%,AL35C,28.9%,10.5%,164.4%,0.0,101.3
,54,USS,5.32,32.1%,1.8,32.50,5%,AL41C,21.8%,10.6%,90.1%,0.0,101.3
,54,USS,1.84,26.7%,0.5,26.75,2%,GD29C,60.9%,9.4%,190.1%,0.0,100.4
,54,USS,2.05,30.8%,0.4,30.90,1%,GD30C,47.8%,9.5%,143.3%,0.0,100.3
,54,USS,3.54,28.8%,1.8,29.15,6%,GD46C,28.8%,10.1%,131.5%,0.0,101.3
,54,USS,4.25,34.0%,2.1,34.50,6%,GD38C,26.2%,10.4%,110.6%,0.0,101.6
,54,USS,4.84,26.6%,1.8,27.00,7%,GD35C,27.6%,10.5%,149.1%,0.0,101.3
,54,USS,4.99,28.6%,1.8,29.00,6%,GD41C,24.2%,10.6%,114.2%,0.0,101.3
,7,CER,0.01,99.0%,-,157.70,-,X23N3,0.0%,-,-,0.0,159.2
,63,CER,0.15,99.0%,-,130.90,-,X18E4,6.6%,-,-,0.0,132.2
,104,CER,0.39,111.1%,-,43000.00,-,TDF24,-30.2%,-,-,0.0,38707.5
,166,CER,0.58,114.5%,-,44500.00,-,TDA24,-24.2%,-,-,0.0,38850.0
,288,CER,0.88,113.7%,-,43300.00,-,TDG24,-12.6%,-,-,0.0,38071.7
,,48hs,0.0,159.2," 
                
            ",,,X23N3,0.01,-,,99.0%,-
,,48hs,0.0,132.2," 
                
            ",,,X18E4,0.15,-,,99.0%,-
,,48hs,0.0,38707.5," 
                
            ",,,TDF24,0.39,-,,111.1%,-
,,48hs,0.0,38850.0," 
                
            ",,,TDA24,0.58,-,,114.5%,-
,,48hs,0.0,38071.7," 
                
            ",,,TDG24,0.88,-,,113.7%,-
,166,USDL,0.54,122.9%,-,43399.00,-,TV24,-37.2%,-,-,0.0,100.0
,137,USDL,0.96,124.3%,-,43900.00,-,T2V4,-22.0%,-,-,0.0,100.1
,104,USDL,0.56,121.8%,-,43000.00,-,TDF24D,-51.7%,-,-,0.0,100.0
,166,USDL,0.74,126.1%,-,44500.00,-,TDA24D,-40.9%,-,-,0.0,100.0
,288,USDL,1.01,122.7%,-,43300.00,-,TDG24D,-23.2%,-,-,0.0,100.0
,,48hs,0.0,100.0," 
                
            ",,,TV24,0.54,-,,122.9%,-
,,48hs,0.0,100.1," 
                
            ",,,T2V4,0.96,-,,124.3%,-
,,48hs,0.0,100.0," 
                
            ",,,TDF24D,0.56,-,,121.8%,-
,,48hs,0.0,100.0," 
                
            ",,,TDA24D,0.74,-,,126.1%,-
,,48hs,0.0,100.0," 
                
            ",,,TDG24D,1.01,-,,122.7%,-
,,22021.50,677.58,,,,,,876.65,,,↑29.38%,
,,22901.00,874.08,,,,,,864.19,,,↓-1.13%,
,,21670.00,849.80,,,,,,835.07,,,↓-1.73%,
,,23770.00,831.12,,,,,,864.40,,,↑4.00%,
,,22890.00,840.00,,,,,,883.44,,,↑5.17%,
,,25811.00,890.03,,,,,,879.42,,,↓-1.19%,
,,26700.00,864.08,,,,,,882.35,,,↑2.12%,
,,24560.00,909.63,,,,,,868.15,,,↓-4.56%,
,,29300.00,849.28,,,,,,846.82,,,↓-0.29%,
,,25500.00,953.27,,,,,,860.90,,,↓-9.69%,
,,,92,,,,,,,,,,
,,90,,,,,,,100.1,,,,
